title,text,label
Harvard head apologises as scathing reports on campus prejudice released,"""I'm sorry for the moments when we failed to meet the high expectations we rightfully set for our community,"" Dr Garber said in a letter, external on Tuesday accompanying the reports.
He said the Ha… [+1638 chars]",1
Five things you need to make it through a power cut,"Paying with phone and card has become the norm, but in cities across Spain and Portugal, queues formed at cash machines - at least the ones that were still working - as shops switched away from card … [+727 chars]",1
Pakistan claims 'credible intelligence' India is planning an imminent military strike,The attack near the tourist town of Pahalgam was the deadliest attack on civilians in two decades in the disputed territory. Both India and Pakistan claim the region and have fought two wars over it.… [+1842 chars],1
Runaway kangaroo temporarily shuts down highway in Alabama,"A runaway kangaroo temporarily shut down a portion of an interstate highway in Alabama on Tuesday as state troopers and the animals owner attempted to remove it from harms way.
The Alabama Law Enfor… [+1432 chars]",1
Chris Mason: A wildly unpredictable local elections,"And there is a good chance too, given what I hear from the political parties, that your heart might not be pulsating in ecstasy even if the community centre down the road is morphing into a polling s… [+3313 chars]",1
US officers who broke rank to save lives recall the fall of Saigon 50 years ago,"As servicemen aboard the US Navy aircraft carrier dumped millions of dollars of military hardware into the South China Sea, the commander chose not to watch.
Capt. Larry Chambers knew his order to p… [+11329 chars]",1
Newspaper headlines: Net zero 'doomed' and royals on 'love island',"Image caption, ""Wills &amp; Kate on love island"" reports The Sun as the royal pair make a ""romantic getaway"" to the Isle of Mull in western Scotland. The trip marks the 14th wedding anniversary of th… [+294 chars]",1
Trump 100 days: President celebrates by touting his record and blasting foes,"""We've just gotten started, you haven't seen anything yet,"" Trump told the crowd on Tuesday in a suburb of Detroit. 
Speaking at the hub of America's automative industry, Trump said car firms were ""… [+1681 chars]",1
Pakistan claims it has ‘credible intelligence’ India will strike within 36 hours,Tensions between India and Pakistan have escalated further after a top Pakistani official claimed early Wednesday it has credible intelligence that New Delhi will carry out a military action against … [+1941 chars],1
"Warning RTS electricity meters in 300,000 homes could stop working","Since the 1980s, RTS meters have used a longwave radio frequency to switch between peak and off peak rates.
The technology is becoming obsolete and energy companies have a deadline to change their c… [+1807 chars]",1
Metagenomics test saves woman's sight after mystery infection,"In 2019, while still at medical school, Ellie began suffering from inflammation in her right eye. All tests for infection came back negative and it was assumed she had an autoimmune condition.
Ellie… [+838 chars]",1
Trump congratulates Canada's Carney as they agree to meet in 'near future',"On Tuesday morning, Bloc Québécois leader Yves-Francois Blanchet suggested Carney could benefit from at least a period of stability in the House.
Blanchet urged a ""truce"" among parties while Canada … [+1091 chars]",1
How the Trump administration labeled students as criminals with no evidence,"The Trump administration ordered international students to be effectively designated as criminals without checking if the information was true, court records reviewed by CNN show, along with new info… [+11399 chars]",1
World’s largest solar telescope takes first ultra-detailed image of the sun,"Sign up for CNNs Wonder Theory science newsletter. Explore the universe with news on fascinating discoveries, scientific advancements and more.
A newly released image of the sun captured by the worl… [+5660 chars]",1
The biggest takeaways from Harvard’s task force reports on campus antisemitism and anti-Muslim bias,"As its legal battle over critical federal money plays out in court, two Harvard University task forces have released a pair of long-awaited internal reports: one on how antisemitism and anti-Israeli … [+10007 chars]",1
‘You want violence:’ NYPD investigating woman attacked by pro-Israel group of men | CNN,"New York police are investigating the attack of a Brooklyn woman harassed last week by a pro-Israeli group of men in an encounter captured on multiple videos, which has incited demonstrations and con… [+31 chars]",1
