Title,Text,label
NASA Launches New Mars Rover on Historic Mission,"NASA's new Mars rover, Perseverance, has successfully landed on the red planet and is set to explore the Martian surface in search of signs of past life.",1
Global Markets Rally as Inflation Slows,Stock markets around the world saw gains today after data showed a decline in inflation across major economies.,1
WHO Approves New Malaria Vaccine for Widespread Use,"The World Health Organization has approved a new malaria vaccine, marking a significant step toward eradicating the disease in Africa.",1
Apple Unveils iPhone 16 with AI-Powered Features,"Apple introduced the iPhone 16 at its annual event, showcasing AI integration in its camera and Siri assistant.",1
India Achieves Record Wheat Production in 2025,"The Ministry of Agriculture announced India’s highest-ever wheat yield this season, boosting food security.",1
UN Calls for Ceasefire in Ongoing Middle East Conflict,The United Nations has urged both sides in the conflict to halt violence and begin peace negotiations.,1
Germany to Phase Out Coal by 2030 in Green Deal,"As part of its climate goals, Germany will shut down all coal-fired power plants by 2030, replacing them with renewable sources.",1
COVID-19 Booster Shots Recommended for Seniors,Health agencies now advise all adults over 60 to get booster shots amid rising infection rates of the new COVID-19 variant.,1
Olympic Games Conclude with Record-Breaking Performances,"The 2024 Olympics ended in Paris with athletes setting new records in track, swimming, and gymnastics.",1
Electric Vehicles Outsell Petrol Cars in Norway,Norway has become the first country where electric vehicle sales have surpassed petrol car purchases.,1
Facebook Parent Meta Expands into Metaverse Education,"Meta announced a new initiative to build virtual classrooms, offering immersive education experiences.",1
China Launches New Weather Satellite for Global Monitoring,China successfully deployed a satellite to improve global weather forecasting and disaster response.,1
UK Votes to Increase Minimum Wage Starting July,The UK Parliament approved a bill raising the national minimum wage to support working-class families.,1
Russia and US Agree to Resume Arms Control Talks,Diplomats from both nations confirmed plans to revive arms control discussions halted last year.,1
 Amazon to Open 10 New Warehouses in India,"Amazon announced the expansion of its logistics network in India, aiming to speed up deliveries.",1
Japan Passes Law to Encourage Remote Work Culture,Japan's parliament approved legislation supporting flexible work hours and remote jobs post-pandemic.,1
Australia Declares National Emergency Over Wildfires,Wildfires across New South Wales have prompted the government to declare a state of emergency.,1
Brazil Launches National Reforestation Plan,The Brazilian government introduced a 10-year plan to restore deforested regions of the Amazon rainforest.,1
New Study Links Air Pollution to Cognitive Decline,A Harvard study reveals long-term exposure to fine particles in polluted air affects brain health.,1
Tesla Introduces Affordable Model A for Developing Markets,"Tesla has unveiled a low-cost EV designed for emerging markets, starting with production in India.",1
Google Introduces AI Search Upgrades at I/O Conference,"Google announced major updates to its search engine powered by generative AI, enhancing user experience.",1
South Korea Reports Strong Q1 Economic Growth,"Driven by tech exports and domestic demand, South Korea’s economy grew 4.2% in the first quarter.",1
Scientists Detect Water Vapor on Distant Exoplanet,"Astronomers have found signs of water vapor on a planet 120 light-years away, increasing hope for life.",1
World Bank Predicts 3.5% Global Growth in 2025,The World Bank projects steady global economic growth supported by digital transformation and recovery efforts.,1
France Bans Single-Use Plastics in Retail Stores,France has become the first EU country to completely ban single-use plastic packaging in supermarkets.,1
